logged_utc,exit_utc,exit_bar,kind,side,fills,tps_hit,bars_held,reason,pnl,r,filled_bars,entry_utc,entry_price,avg_entry,stop_price,tp_prices,exit_price,risk_usd,binding_at_entry,room_at_entry,fee_share_pct,tranches
2026-09-21T17:48:04+00:00,2026-02-07T16:00:00+00:00,183,pullback,short,1,0,2,reset_flat_loser,-23.43,-0.0469,0,2026-02-07T08:00:00+00:00,68040.27,68040.27,73175.09,"[62905.45, 57770.62, 52635.8]",69201.14,500.0,daily,4000.0,0.21,5
2026-09-21T17:48:04+00:00,2026-02-09T16:00:00+00:00,195,pullback,short,1,0,1,reset_flat_loser,-16.71,-0.0334,0,2026-02-09T12:00:00+00:00,68904.52,68904.52,73158.03,"[64651.01, 60397.49, 56143.98]",69569.44,499.88,daily,4000.0,0.26,5
2026-09-21T17:48:04+00:00,2026-02-10T16:00:00+00:00,201,pullback,short,2,0,3,reset_flat_loser,-12.52,-0.025,0,2026-02-10T04:00:00+00:00,69549.39,69177.63,72162.35,"[66936.43, 64323.47, 61710.51]",69312.6,499.8,daily,4000.0,0.73,5
2026-09-21T17:48:04+00:00,2026-02-13T12:00:00+00:00,218,pullback,short,4,1,14,stop,52.78,0.1056,0,2026-02-11T04:00:00+00:00,68202.83,67257.84,70755.55,"[65650.11, 63097.38, 60544.66]",67278.02,499.74,daily,4000.0,1.21,5
2026-09-21T17:48:04+00:00,2026-02-18T08:00:00+00:00,247,pullback,short,4,1,16,stop,62.9,0.1258,0,2026-02-15T16:00:00+00:00,69090.55,68372.35,71527.3,"[66653.8, 64217.06, 61780.31]",68392.87,500.0,daily,4000.0,1.36,5
2026-09-21T17:48:04+00:00,2026-02-18T16:00:00+00:00,249,reverse,long,2,0,1,stop,-202.56,-0.4049,0,2026-02-18T12:00:00+00:00,67378.64,67604.64,66076.76,"[68680.52, 69982.41, 71284.29]",66056.93,500.32,daily,3996.02,1.35,5
2026-09-21T17:48:04+00:00,2026-02-19T16:00:00+00:00,255,pullback,short,1,0,5,reset_flat_loser,-5.62,-0.0113,0,2026-02-18T20:00:00+00:00,66187.45,66187.45,69015.92,"[63358.98, 60530.51, 57702.04]",66296.7,499.3,daily,3800.87,0.37,5
2026-09-21T17:48:04+00:00,2026-02-24T00:00:00+00:00,281,pullback,short,5,3,8,tp3,505.21,1.0119,0,2026-02-22T16:00:00+00:00,67670.45,67056.11,69029.69,"[66311.21, 64951.97, 63592.73]",63592.73,499.27,daily,4000.0,2.6,5
2026-09-21T17:48:04+00:00,2026-03-05T12:00:00+00:00,338,breakout,long,3,1,6,stop,64.64,0.1288,0,2026-03-04T12:00:00+00:00,71112.35,71735.04,69317.59,"[72907.11, 74701.87, 76496.63]",71713.51,501.8,daily,4000.0,2.32,3
2026-09-21T17:48:04+00:00,2026-03-10T00:00:00+00:00,365,reverse,short,5,1,26,stop,63.82,0.1271,0,2026-03-05T16:00:00+00:00,71574.74,70282.44,74833.99,"[68315.49, 65056.25, 61797.0]",70303.52,502.12,daily,4000.0,1.21,5
2026-09-21T17:48:04+00:00,2026-03-12T16:00:00+00:00,381,pullback,long,2,0,6,reset_flat_loser,-28.73,-0.0572,0,2026-03-11T16:00:00+00:00,70325.57,70594.08,68357.07,"[72294.07, 74262.57, 76231.07]",70322.55,502.44,daily,4000.0,0.98,5
2026-09-21T17:48:04+00:00,2026-03-13T16:00:00+00:00,387,pullback,long,5,0,3,reset_flat_loser,-67.5,-0.1344,0,2026-03-13T04:00:00+00:00,71401.37,72357.9,68661.44,"[74141.3, 76881.24, 79621.17]",71911.1,502.3,daily,4000.0,1.54,5
2026-09-21T17:48:04+00:00,2026-03-17T00:00:00+00:00,407,pullback,long,5,3,12,tp3,437.55,0.8717,0,2026-03-15T00:00:00+00:00,71188.82,71911.2,69894.45,"[72483.19, 73777.56, 75071.93]",75071.93,501.96,daily,4000.0,2.81,5
2026-09-21T17:48:04+00:00,2026-03-21T16:00:00+00:00,435,pullback,short,1,0,6,reset_flat_loser,-42.49,-0.0843,0,2026-03-20T16:00:00+00:00,69847.41,69847.41,71894.06,"[67800.76, 65754.1, 63707.45]",70677.14,504.15,daily,4000.0,0.53,5
2026-09-21T17:48:04+00:00,2026-03-31T16:00:00+00:00,495,pullback,short,2,0,5,reset_flat_loser,-43.42,-0.0862,0,2026-03-30T20:00:00+00:00,66551.97,66349.51,68582.33,"[64521.61, 62491.25, 60460.89]",66788.64,503.94,daily,4000.0,0.93,5
2026-09-21T17:48:04+00:00,2026-04-05T16:00:00+00:00,525,pullback,short,2,0,3,reset_flat_loser,-82.86,-0.1645,0,2026-04-05T04:00:00+00:00,67147.68,67019.03,67850.02,"[66445.34, 65743.0, 65040.66]",67329.06,503.72,daily,4000.0,2.43,5
2026-09-21T17:48:04+00:00,2026-04-13T20:00:00+00:00,574,pullback,long,5,3,36,tp3,539.37,1.0716,0,2026-04-07T20:00:00+00:00,69035.82,69744.49,67328.72,"[70742.92, 72450.03, 74157.13]",74157.13,503.31,daily,4000.0,2.3,5
2026-09-21T17:48:04+00:00,2026-04-16T16:00:00+00:00,591,pullback,long,1,0,5,reset_flat_loser,-19.5,-0.0385,0,2026-04-15T20:00:00+00:00,75042.38,75042.38,73074.11,"[77010.65, 78978.91, 80947.18]",74711.5,506.0,daily,4000.0,0.59,5
2026-09-21T17:48:04+00:00,2026-04-19T20:00:00+00:00,610,pullback,long,1,0,1,stop,-102.79,-0.2032,0,2026-04-19T16:00:00+00:00,75859.21,75859.21,74548.65,"[77169.77, 78480.33, 79790.89]",74526.29,505.9,daily,4000.0,0.88,5
2026-09-21T17:48:04+00:00,2026-04-20T16:00:00+00:00,615,reverse,short,1,0,4,reset_flat_loser,-78.13,-0.1546,0,2026-04-20T00:00:00+00:00,73756.7,73756.7,76294.15,"[71219.25, 68681.8, 66144.36]",75703.86,505.39,daily,3897.21,0.46,5
2026-09-21T17:48:04+00:00,2026-04-21T16:00:00+00:00,621,pullback,long,1,0,1,reset_flat_loser,-30.86,-0.0611,0,2026-04-21T12:00:00+00:00,76476.69,76476.69,74290.2,"[78663.18, 80849.67, 83036.16]",75850.94,505.0,daily,4000.0,0.54,5
2026-09-21T17:48:04+00:00,2026-04-23T16:00:00+00:00,633,pullback,long,5,1,10,stop,56.87,0.1126,0,2026-04-22T00:00:00+00:00,76373.03,77190.55,74338.92,"[78407.14, 80441.25, 82475.36]",77167.39,504.85,daily,4000.0,2.12,5
2026-09-21T17:48:04+00:00,2026-04-24T16:00:00+00:00,639,reverse,short,1,0,5,reset_flat_loser,-18.36,-0.0363,0,2026-04-23T20:00:00+00:00,77705.93,77705.93,79959.57,"[75452.29, 73198.65, 70945.01]",78064.41,505.13,daily,3993.76,0.54,5
2026-09-21T17:48:04+00:00,2026-04-26T20:00:00+00:00,652,pullback,long,3,1,5,stop,26.19,0.0519,0,2026-04-26T00:00:00+00:00,77631.64,77911.64,76817.91,"[78445.37, 79259.09, 80072.82]",77888.27,505.04,daily,4000.0,3.24,5
2026-09-21T17:48:04+00:00,2026-04-27T00:00:00+00:00,653,reverse,short,1,0,0,stop,-104.74,-0.2073,0,2026-04-27T00:00:00+00:00,78658.01,78658.01,79249.42,"[78066.6, 77475.2, 76883.79]",79273.19,505.17,daily,4032.35,1.93,5
2026-09-21T17:48:04+00:00,2026-05-06T08:00:00+00:00,709,pullback,long,5,3,29,tp3,591.48,1.1721,0,2026-05-01T12:00:00+00:00,77471.9,78077.43,75718.06,"[79225.74, 80979.59, 82733.43]",82733.43,504.65,daily,4000.0,2.63,5
2026-09-21T17:48:04+00:00,2026-05-07T12:00:00+00:00,716,pullback,long,1,0,1,stop,-103.45,-0.2038,0,2026-05-07T08:00:00+00:00,81498.17,81498.17,80318.76,"[82677.58, 83856.99, 85036.4]",80294.67,507.6,daily,4000.0,1.04,5
2026-09-21T17:48:04+00:00,2026-05-08T16:00:00+00:00,723,reverse,short,2,0,6,reset_flat_loser,-49.46,-0.0975,0,2026-05-07T16:00:00+00:00,79851.42,79646.19,82045.77,"[77657.07, 75462.72, 73268.37]",80182.97,507.09,daily,4000.0,1.04,5
